name,minPlanTime,maxPlanTime,shortConTimeDriver,shortConTimeVehicle,maxDrivingTime,maxWorkingTime,nbCities,nbTrips,maxPercentCombine,timeWindowRange,nbNodes,nbArcs,maxNbDriverAvailable,maxNbVehicleAvailable,lb,ub,gap(%),totalCost,totalFixedCost,fixedCostForDrivers,fixedCostForVehicles,totalIdleTimeCost,idleTimeCostForDrivers,idleTimeCostForVehicles,changeOverCost,nbDrivers,nbVehicles,elapsedTime(sec),
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.0,20,36,178,6,6,516170.0,516170.0,0.0,536170.0,520000.0,20000.0,500000.0,16170.0,770.0,15400.0,0.0,5,5,0.002,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.0,30,36,182,6,6,512705.0,512705.0,0.0,532705.0,520000.0,20000.0,500000.0,12705.0,605.0,12100.0,0.0,5,5,0.002,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.0,40,36,185,6,6,412180.0,412180.0,0.0,428180.0,416000.0,16000.0,400000.0,12180.0,580.0,11600.0,0.0,4,4,0.002,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.0,50,36,187,6,6,411340.0,411340.0,0.0,427340.0,416000.0,16000.0,400000.0,11340.0,540.0,10800.0,0.0,4,4,0.002,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.0,60,36,190,6,6,410500.0,410500.0,0.0,426500.0,416000.0,16000.0,400000.0,10500.0,500.0,10000.0,0.0,4,4,0.002,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.25,0,36,174,6,6,618430.0,618430.0,0.0,642430.0,624000.0,24000.0,600000.0,18310.0,910.0,17400.0,120.0,6,6,0.005,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.25,10,36,178,6,6,617445.0,617445.0,0.0,641445.0,624000.0,24000.0,600000.0,17355.0,855.0,16500.0,90.0,6,6,0.004,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.25,20,36,181,6,6,615440.0,615440.0,0.0,639440.0,624000.0,24000.0,600000.0,15350.0,750.0,14600.0,90.0,6,6,0.002,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.25,30,36,184,6,6,614620.0,614620.0,0.0,638620.0,624000.0,24000.0,600000.0,14500.0,700.0,13800.0,120.0,6,6,0.003,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.25,40,36,187,6,6,514200.0,514200.0,0.0,534200.0,520000.0,20000.0,500000.0,14050.0,750.0,13300.0,150.0,5,5,0.004,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.25,50,36,188,6,6,513850.0,513850.0,0.0,533850.0,520000.0,20000.0,500000.0,13640.0,740.0,12900.0,210.0,5,5,0.003,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.25,60,36,191,6,6,514545.0,514545.0,0.0,534545.0,520000.0,20000.0,500000.0,14335.0,735.0,13600.0,210.0,5,5,0.002,
