name,nbTasks,maxPercentCombine,nbDrivers(Vehicles)Available,lengthOfDepartureTimeFlexibility,nbDriversInSolution,nbVehiclesInSolution,nbTripsHavePassenger,nbTripsHavePassenger(NormalTrip),nbTripsHavePassenger(CombineTrip),nbTripsPerformedPerDriver,totalWorkTimePerDriver(minute),totalDriveTimePerDriver(minute),totalPassengerTimePerDriver(minute),totalIdleTimePerDriver(minute),shortestIdleTime(minute),longestIdleTime(minute),shortestWorkingTime(minute),longestWorkingTime(minute),nbChangeoversPerDriver,nbChangeoverPerDriver_ChangeStatus,nbChangeoverPerDriver_ChangeVehicle,
nbCities:3; nbDepots:2; size:90 90;nbTrips:80;nbCombinedTrips17;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,80,0.25,17,51,16,12,5,2,3,5.0,360.625,249.375,15.0,96.25,15.0,110.0,105.0,620.0,1.0,0.375,1.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:80;nbCombinedTrips17;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,80,0.25,17,61,15,12,4,2,2,5.333333333333333,391.6666666666667,266.0,12.0,113.66666666666667,15.0,95.0,105.0,685.0,1.4,0.3333333333333333,1.3333333333333333,
nbCities:3; nbDepots:2; size:90 90;nbTrips:100;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,100,0.0,16,1,14,14,0,0,0,7.142857142857143,544.6428571428571,351.42857142857144,0.0,193.21428571428572,15.0,125.0,215.0,680.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:100;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,100,0.0,16,11,13,13,0,0,0,7.6923076923076925,556.5384615384615,378.46153846153845,0.0,178.07692307692307,15.0,60.0,390.0,715.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:100;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,100,0.0,16,21,13,13,0,0,0,7.6923076923076925,526.9230769230769,378.46153846153845,0.0,148.46153846153845,15.0,100.0,320.0,715.0,0.07692307692307693,0.0,0.07692307692307693,
nbCities:3; nbDepots:2; size:90 90;nbTrips:100;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,100,0.0,16,31,16,13,0,0,0,6.25,460.0,307.5,0.0,152.5,15.0,85.0,135.0,535.0,1.5625,0.0,1.5625,
nbCities:3; nbDepots:2; size:90 90;nbTrips:100;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,100,0.0,16,41,14,11,0,0,0,7.142857142857143,453.2142857142857,351.42857142857144,0.0,101.78571428571429,15.0,80.0,125.0,645.0,0.21428571428571427,0.0,0.21428571428571427,
nbCities:3; nbDepots:2; size:90 90;nbTrips:100;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,100,0.0,16,51,16,11,0,0,0,6.25,448.75,307.5,0.0,141.25,15.0,90.0,105.0,530.0,1.375,0.0,1.375,
nbCities:3; nbDepots:2; size:90 90;nbTrips:100;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,100,0.0,16,61,16,10,0,0,0,6.25,454.375,307.5,0.0,146.875,15.0,95.0,105.0,540.0,1.5,0.0,1.5,
nbCities:3; nbDepots:2; size:90 90;nbTrips:100;nbCombinedTrips25;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,100,0.25,23,1,17,19,7,3,4,5.882352941176471,503.2352941176471,292.94117647058823,19.41176470588235,190.88235294117646,15.0,185.0,140.0,715.0,1.8235294117647058,0.5294117647058824,1.7647058823529411,
nbCities:3; nbDepots:2; size:90 90;nbTrips:100;nbCombinedTrips25;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,100,0.25,23,11,17,19,7,4,3,5.882352941176471,495.29411764705884,292.94117647058823,19.41176470588235,182.94117647058823,15.0,190.0,135.0,705.0,1.8823529411764706,0.5882352941176471,1.8823529411764706,
nbCities:3; nbDepots:2; size:90 90;nbTrips:100;nbCombinedTrips25;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,100,0.25,23,21,16,19,11,6,5,6.25,516.25,311.25,33.75,171.25,15.0,110.0,135.0,720.0,2.125,0.8125,2.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:100;nbCombinedTrips25;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,100,0.25,23,31,16,18,9,5,4,6.25,507.1875,311.25,28.125,167.8125,15.0,135.0,230.0,720.0,1.875,0.6875,1.8125,
nbCities:3; nbDepots:2; size:90 90;nbTrips:100;nbCombinedTrips25;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,100,0.25,23,41,22,17,12,6,6,4.545454545454546,384.77272727272725,226.36363636363637,25.90909090909091,132.5,15.0,170.0,105.0,690.0,1.4090909090909092,0.5454545454545454,1.3181818181818181,
nbCities:3; nbDepots:2; size:90 90;nbTrips:100;nbCombinedTrips25;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,100,0.25,23,51,23,16,25,0,25,4.3478260869565215,444.7826086956522,216.52173913043478,52.17391304347826,176.08695652173913,15.0,155.0,135.0,550.0,2.130434782608696,0.6956521739130435,2.0434782608695654,
nbCities:3; nbDepots:2; size:90 90;nbTrips:100;nbCombinedTrips25;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,100,0.25,23,61,23,16,21,0,21,4.3478260869565215,417.17391304347825,216.52173913043478,44.34782608695652,156.30434782608697,15.0,210.0,105.0,560.0,1.7826086956521738,0.6086956521739131,1.7391304347826086,
nbCities:3; nbDepots:2; size:90 90;nbTrips:120;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,120,0.0,19,1,17,17,0,0,0,7.0588235294117645,526.1764705882352,349.4117647058824,0.0,176.76470588235293,15.0,70.0,200.0,720.0,0.11764705882352941,0.0,0.11764705882352941,
nbCities:3; nbDepots:2; size:90 90;nbTrips:120;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,120,0.0,19,11,17,16,2,2,0,7.0588235294117645,497.3529411764706,349.4117647058824,5.294117647058823,142.64705882352942,15.0,70.0,315.0,660.0,0.23529411764705882,0.17647058823529413,0.23529411764705882,
nbCities:3; nbDepots:2; size:90 90;nbTrips:120;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,120,0.0,19,21,19,16,0,0,0,6.315789473684211,469.2105263157895,312.63157894736844,0.0,156.57894736842104,15.0,75.0,180.0,535.0,1.4210526315789473,0.0,1.4210526315789473,
nbCities:3; nbDepots:2; size:90 90;nbTrips:120;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,120,0.0,19,31,19,16,0,0,0,6.315789473684211,467.10526315789474,312.63157894736844,0.0,154.47368421052633,15.0,85.0,180.0,535.0,1.6842105263157894,0.0,1.6842105263157894,
nbCities:3; nbDepots:2; size:90 90;nbTrips:120;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,120,0.0,19,41,19,14,0,0,0,6.315789473684211,461.8421052631579,312.63157894736844,0.0,149.21052631578948,15.0,95.0,180.0,535.0,1.894736842105263,0.0,1.894736842105263,
nbCities:3; nbDepots:2; size:90 90;nbTrips:120;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,120,0.0,19,51,19,13,0,0,0,6.315789473684211,459.7368421052632,312.63157894736844,0.0,147.10526315789474,15.0,100.0,185.0,540.0,1.736842105263158,0.0,1.736842105263158,
nbCities:3; nbDepots:2; size:90 90;nbTrips:120;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,120,0.0,19,61,19,13,0,0,0,6.315789473684211,449.4736842105263,312.63157894736844,0.0,136.8421052631579,15.0,110.0,180.0,535.0,1.2105263157894737,0.0,1.2105263157894737,
nbCities:3; nbDepots:2; size:90 90;nbTrips:120;nbCombinedTrips30;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,120,0.25,27,1,18,24,6,3,3,6.666666666666667,569.7222222222222,331.6666666666667,15.0,223.05555555555554,15.0,130.0,290.0,720.0,2.0555555555555554,0.6666666666666666,2.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:120;nbCombinedTrips30;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,120,0.25,27,11,27,24,30,0,30,4.444444444444445,479.0740740740741,221.11111111111111,53.333333333333336,204.62962962962962,15.0,160.0,105.0,535.0,2.074074074074074,0.8148148148148148,2.074074074074074,
nbCities:3; nbDepots:2; size:90 90;nbTrips:120;nbCombinedTrips30;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,120,0.25,27,21,27,23,30,0,30,4.444444444444445,476.48148148148147,221.11111111111111,53.333333333333336,202.03703703703704,15.0,155.0,105.0,545.0,2.1481481481481484,0.8518518518518519,2.1481481481481484,
nbCities:3; nbDepots:2; size:90 90;nbTrips:120;nbCombinedTrips30;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,120,0.25,27,31,27,22,30,0,30,4.444444444444445,471.6666666666667,221.11111111111111,53.333333333333336,197.22222222222223,15.0,155.0,135.0,540.0,2.2222222222222223,0.8148148148148148,2.185185185185185,
nbCities:3; nbDepots:2; size:90 90;nbTrips:120;nbCombinedTrips30;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,120,0.25,27,41,27,21,30,0,30,4.444444444444445,471.6666666666667,221.11111111111111,53.333333333333336,197.22222222222223,15.0,150.0,105.0,560.0,2.074074074074074,1.0,2.0,
