name,minPlanTime,maxPlanTime,shortConTimeDriver,shortConTimeVehicle,maxDrivingTime,maxWorkingTime,nbCities,nbTrips,maxPercentCombine,timeWindowRange,nbNodes,nbArcs,maxNbDriverAvailable,maxNbVehicleAvailable,lb,ub,gap(%),totalCost,totalFixedCost,fixedCostForDrivers,fixedCostForVehicles,totalIdleTimeCost,idleTimeCostForDrivers,idleTimeCostForVehicles,changeOverCost,nbDrivers,nbVehicles,elapsedTime(sec),
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.25,40,36,187,6,6,513929.9999999999,513929.9999999999,0.0,534050.0,520000.0,20000.0,500000.0,13930.0,830.0,13100.0,120.0,5,5,0.111,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.25,50,36,188,6,6,513635.00000000023,513635.00000000023,0.0,533815.0,520000.0,20000.0,500000.0,13635.0,735.0,12900.0,180.0,5,5,0.13,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.25,60,36,191,6,6,514255.00000000023,514255.00000000023,0.0,534435.0,520000.0,20000.0,500000.0,14255.0,855.0,13400.0,180.0,5,5,0.172,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.0,0,41,229,6,6,620370.0,620370.0,0.0,644490.0,624000.0,24000.0,600000.0,20370.0,970.0,19400.0,120.0,6,6,0.005,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.0,10,41,233,6,6,618590.0000000015,618590.0000000014,-1.8819463914213703E-14,642680.0,624000.0,24000.0,600000.0,18590.0,890.0,17700.0,90.0,6,6,0.05,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.0,20,41,235,6,6,617535.0,617535.0,0.0,641775.0,624000.0,24000.0,600000.0,17535.0,835.0,16700.0,240.0,6,6,0.116,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.0,30,41,240,6,6,614280.0,614280.0,0.0,638340.0,624000.0,24000.0,600000.0,14280.0,680.0,13600.0,60.0,6,6,0.068,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.0,40,41,242,6,6,513725.0000000003,513725.0000000003,0.0,533935.0,520000.0,20000.0,500000.0,13725.0,725.0,13000.0,210.0,5,5,0.117,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.0,50,41,243,6,6,512380.0,512380.0,0.0,532470.0,520000.0,20000.0,500000.0,12380.0,680.0,11700.0,90.0,5,5,0.16,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.0,60,41,247,6,6,511470.0,511470.0,0.0,531530.0,520000.0,20000.0,500000.0,11470.0,570.0,10900.0,60.0,5,5,0.131,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.25,0,41,231,7,7,723140.0,723140.0,0.0,747410.0,724000.0,24000.0,700000.0,23140.0,1140.0,22000.0,270.0,6,7,0.013,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.25,10,41,236,7,7,622424.9999999999,622424.9999999999,0.0,650725.0,628000.0,28000.0,600000.0,22425.0,1025.0,21400.0,300.0,7,6,0.151,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.25,20,41,238,7,7,621680.0,621680.0,0.0,646040.0,624000.0,24000.0,600000.0,21680.0,1180.0,20500.0,360.0,6,6,0.476,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.25,30,41,242,7,7,620605.0000000009,620605.0000000009,0.0,648905.0,628000.0,28000.0,600000.0,20605.0,905.0,19700.0,300.0,7,6,0.602,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.25,40,41,246,7,7,616715.0,616715.0,0.0,645075.0,628000.0,28000.0,600000.0,16715.0,915.0,15800.0,360.0,7,6,0.242,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.25,50,41,246,7,7,615245.0000000003,615245.0000000003,0.0,643575.0,628000.0,28000.0,600000.0,15245.0,745.0,14500.0,330.0,7,6,0.154,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.25,60,41,250,7,7,515400.0,515400.0,0.0,543520.0,528000.0,28000.0,500000.0,15400.0,800.0,14600.0,120.0,7,5,0.34,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.0,0,46,294,7,7,527750.0,527750.0,0.0,551870.0,524000.0,24000.0,500000.0,27750.0,1250.0,26500.0,120.0,6,5,0.008,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.0,10,46,301,7,7,526250.0,526250.0,0.0,546370.0,520000.0,20000.0,500000.0,26250.0,1250.0,25000.0,120.0,5,5,0.096,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.0,20,46,304,7,7,525240.0,525240.0,0.0,545480.0,520000.0,20000.0,500000.0,25240.0,1240.0,24000.0,240.0,5,5,0.173,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.0,30,46,308,7,7,520295.0000000036,520295.0000000036,0.0,540385.0,520000.0,20000.0,500000.0,20295.0,995.0,19300.0,90.0,5,5,0.318,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.0,40,46,312,7,7,419915.0,419915.0,0.0,440125.0,420000.0,20000.0,400000.0,19915.0,915.0,19000.0,210.0,5,4,0.325,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.0,50,46,314,7,7,418760.0,418760.0,0.0,438850.0,420000.0,20000.0,400000.0,18760.0,860.0,17900.0,90.0,5,4,0.262,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.0,60,46,319,7,7,418180.0000000002,418180.0000000002,0.0,442270.0,424000.0,24000.0,400000.0,18180.0,780.0,17400.0,90.0,6,4,1.484,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.25,0,46,296,8,8,729215.0,729215.0,0.0,753575.0,724000.0,24000.0,700000.0,29215.0,1515.0,27700.0,360.0,6,7,0.007,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.25,10,46,301,8,8,726195.0,726195.0,0.0,754525.0,728000.0,28000.0,700000.0,26195.0,1295.0,24900.0,330.0,7,7,0.099,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.25,20,46,306,8,8,724705.0,724705.0,0.0,753155.0,728000.0,28000.0,700000.0,24705.0,1205.0,23500.0,450.0,7,7,0.447,
