sep=,
name,minPlanTime(min),maxPlanTime(min),shortConTimeDriver(min),shortConTimeVehicle(min),maxDrivingTime(min),maxWorkingTime(min),nbCities,nbTrips,nbTripStartFromDepot,nbNodes,nbArcs,maxPercentCombine,timeWindowRange(min),maxNbDriverAvailable,initialNbColumns,nbColumnsGeneratedByIterations,nbColumnsGeneratedByPostProcess,finalNbColumnsInModel,nbIteration,initialMasterObjectiveValue,finalMasterObjectiveValue,finalLowerBoundMP,finalIntegerObjectiveValue,gap(%),elapsedTime(sec),timeOfSolvingSubPByLabelingAlgorithm(milli sec),timeOfSolRMPByCplex(milli sec),timeOfSolveFinalIntegerProblemByCplex(sec),timePostProcessForRichSchedules(sec),timeForCreatingModelInCG(sec),nbLabelsInTotal,nbLabelsFinalIteration,nbLabelsPerIteration
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,30,21,36,172,0.0,0,6,128,106,0,234,4,24855.0,20880.0,20880.0,20880.0,0.0,0.0,11.0,13.0,0.0,0.0,0.004,25610,9842,6402,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,30,21,36,176,0.0,10,6,128,432,1096,1656,14,24855.0,20810.0,20810.0,20810.0,0.0,0.0,72.0,87.0,0.0,0.0,0.038,426660,55640,30475,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,30,21,36,178,0.0,20,6,128,356,1373,1857,8,24855.0,20770.0,20770.0,20770.0,0.0,0.0,59.0,53.0,0.0,0.0,0.022,207672,44912,25959,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,30,21,36,182,0.0,30,6,128,607,2393,3128,11,24855.0,20605.0,20605.0,20605.0,0.0,0.0,133.0,121.0,0.0,0.0,0.065,540650,87088,49150,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,30,21,36,185,0.0,40,6,128,695,3887,4710,14,24855.0,16580.0,16580.0,16580.0,0.0,1.0,270.0,181.0,0.0,0.0,0.093,1189098,153250,84935,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,30,21,36,187,0.0,50,6,128,929,9140,10197,13,24855.0,16540.0,16540.0,16540.0,0.0,2.0,504.0,226.0,0.0,1.0,0.131,1531152,212144,117780,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,30,21,36,190,0.0,60,6,128,1216,14010,15354,14,24855.0,16500.0,16500.0,16500.0,0.0,4.0,885.0,326.0,0.0,2.0,0.18,2475808,314972,176843,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,30,19,36,174,0.25,0,6,173,129,0,302,5,25050.0,24970.0,24970.0,24970.0,0.0,0.0,12.0,20.0,0.0,0.0,0.007,36694,12302,7338,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,30,19,36,178,0.25,10,6,173,191,799,1163,6,25050.0,24910.0,24910.0,24910.0,0.0,0.0,27.0,26.0,0.0,0.0,0.011,85410,24602,14235,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,30,19,36,181,0.25,20,6,173,293,1466,1932,6,25050.0,24810.0,24810.0,24810.0,0.0,0.0,37.0,36.0,0.0,0.0,0.016,132210,37068,22035,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,30,19,36,184,0.25,30,6,173,361,1800,2334,7,25050.0,24760.0,24760.0,24760.0,0.0,0.0,61.0,54.0,0.0,0.0,0.026,256362,63168,36623,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,30,19,36,187,0.25,40,6,173,788,4380,5341,14,25050.0,20840.0,20840.0,20850.0,0.047961630695443645,1.0,249.0,194.0,0.0,0.0,0.109,1444632,188120,103188,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,30,19,36,188,0.25,50,6,173,720,5636,6529,10,25050.0,20790.0,20790.0,20820.0,0.1440922190201729,1.0,259.0,138.0,0.0,0.0,0.08,1025428,182962,102542,
