name,minPlanTime,maxPlanTime,shortConTimeDriver,shortConTimeVehicle,maxDrivingTime,maxWorkingTime,nbCities,nbTrips,maxPercentCombine,timeWindowRange,nbNodes,nbArcs,maxNbDriverAvailable,maxNbVehicleAvailable,lb,ub,gap(%),totalCost,totalFixedCost,fixedCostForDrivers,fixedCostForVehicles,totalIdleTimeCost,idleTimeCostForDrivers,idleTimeCostForVehicles,changeOverCost,nbDrivers,nbVehicles,elapsedTime(sec),
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,25,0.25,40,31,133,5,5,411265.0,411265.0,0.0,427295.0,416000.0,16000.0,400000.0,11235.0,535.0,10700.0,60.0,4,4,0.023,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,25,0.25,50,31,134,5,5,410425.0000000001,410425.0000000001,0.0,426485.0,416000.0,16000.0,400000.0,10395.0,495.0,9900.0,90.0,4,4,0.041,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,25,0.25,60,31,136,5,5,408430.0000000003,408430.0000000003,0.0,424460.0,416000.0,16000.0,400000.0,8400.0,400.0,8000.0,60.0,4,4,0.033,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.0,0,36,172,6,6,518480.0,518480.0,0.0,538480.0,520000.0,20000.0,500000.0,18480.0,880.0,17600.0,0.0,5,5,0.004,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.0,10,36,176,6,6,517010.0,517010.0,0.0,537010.0,520000.0,20000.0,500000.0,17010.0,810.0,16200.0,0.0,5,5,0.026,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.0,20,36,178,6,6,516170.0,516170.0,0.0,536170.0,520000.0,20000.0,500000.0,16170.0,770.0,15400.0,0.0,5,5,0.046,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.0,30,36,182,6,6,512705.0,512705.0,0.0,532705.0,520000.0,20000.0,500000.0,12705.0,605.0,12100.0,0.0,5,5,0.037,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.0,40,36,185,6,6,412180.0,412180.0,0.0,428180.0,416000.0,16000.0,400000.0,12180.0,580.0,11600.0,0.0,4,4,0.044,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.0,50,36,187,6,6,411340.0,411340.0,0.0,427340.0,416000.0,16000.0,400000.0,11340.0,540.0,10800.0,0.0,4,4,0.051,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.0,60,36,190,6,6,410500.0,410500.0,0.0,426500.0,416000.0,16000.0,400000.0,10500.0,500.0,10000.0,0.0,4,4,0.054,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.25,0,36,174,6,6,617250.0,617250.0,0.0,642490.0,624000.0,24000.0,600000.0,18310.0,910.0,17400.0,180.0,6,6,0.005,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.25,10,36,178,6,6,615865.0000000009,615865.0000000008,-1.8902733850265018E-14,641445.0,624000.0,24000.0,600000.0,17355.0,855.0,16500.0,90.0,6,6,0.027,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.25,20,36,181,6,6,613460.0,613460.0,0.0,639440.0,624000.0,24000.0,600000.0,15350.0,750.0,14600.0,90.0,6,6,0.026,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.25,30,36,184,6,6,612210.0,612210.0,0.0,638620.0,624000.0,24000.0,600000.0,14500.0,700.0,13800.0,120.0,6,6,0.056,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.25,40,36,187,6,6,511590.0,511590.0,0.0,534200.0,520000.0,20000.0,500000.0,14050.0,750.0,13300.0,150.0,5,5,0.023,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.25,50,36,188,6,6,510840.0000000001,510840.0000000001,0.0,533880.0,520000.0,20000.0,500000.0,13640.0,740.0,12900.0,240.0,5,5,0.069,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.25,60,36,191,6,6,511165.0,511165.0,0.0,534575.0,520000.0,20000.0,500000.0,14335.0,735.0,13600.0,240.0,5,5,0.059,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.0,0,41,229,6,6,620370.0,620370.0,0.0,644370.0,624000.0,24000.0,600000.0,20370.0,970.0,19400.0,0.0,6,6,0.004,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.0,10,41,233,6,6,618585.0,618585.0,0.0,642585.0,624000.0,24000.0,600000.0,18585.0,885.0,17700.0,0.0,6,6,0.043,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.0,20,41,235,6,6,617325.0,617325.0,0.0,641325.0,624000.0,24000.0,600000.0,17325.0,825.0,16500.0,0.0,6,6,0.063,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.0,30,41,240,6,6,614280.0,614280.0,0.0,638280.0,624000.0,24000.0,600000.0,14280.0,680.0,13600.0,0.0,6,6,0.034,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.0,40,41,242,6,6,513790.0,513790.0,0.0,537790.0,524000.0,24000.0,500000.0,13790.0,590.0,13200.0,0.0,6,5,0.039,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.0,50,41,243,6,6,512325.0,512325.0,0.0,536325.0,524000.0,24000.0,500000.0,12295.0,595.0,11700.0,30.0,6,5,0.063,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.0,60,41,247,6,6,511575.0,511575.0,0.0,535575.0,524000.0,24000.0,500000.0,11575.0,475.0,11100.0,0.0,6,5,0.05,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.25,0,41,231,7,7,621530.0,621530.0,0.0,647890.0,624000.0,24000.0,600000.0,23740.0,1140.0,22600.0,150.0,6,6,0.004,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.25,10,41,236,7,7,621410.0,621410.0,0.0,646650.0,624000.0,24000.0,600000.0,22470.0,1070.0,21400.0,180.0,6,6,0.043,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.25,20,41,238,7,7,618470.0,618470.0,0.0,645690.0,624000.0,24000.0,600000.0,21420.0,1020.0,20400.0,270.0,6,6,0.084,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.25,30,41,242,7,7,617060.0000000022,617060.0000000022,0.0,644620.0,624000.0,24000.0,600000.0,20410.0,1010.0,19400.0,210.0,6,6,0.054,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.25,40,41,246,7,7,613165.0,613165.0,0.0,641155.0,624000.0,24000.0,600000.0,16915.0,815.0,16100.0,240.0,6,6,0.077,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.25,50,41,246,7,7,611750.0000000003,611750.0000000003,0.0,639910.0,624000.0,24000.0,600000.0,15670.0,770.0,14900.0,240.0,6,6,0.085,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.25,60,41,250,7,7,513430.0,513430.0,0.0,535870.0,520000.0,20000.0,500000.0,15660.0,660.0,15000.0,210.0,5,5,0.061,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.0,0,46,294,7,7,528090.0,528090.0,0.0,552090.0,524000.0,24000.0,500000.0,27970.0,1470.0,26500.0,120.0,6,5,0.006,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.0,10,46,301,7,7,526164.9999999998,526164.9999999998,0.0,550165.0,524000.0,24000.0,500000.0,26165.0,1165.0,25000.0,0.0,6,5,0.063,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.0,20,46,304,7,7,525105.0000000021,525105.0000000021,0.0,549105.0,524000.0,24000.0,500000.0,25105.0,1105.0,24000.0,0.0,6,5,0.159,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.0,30,46,308,7,7,520200.0,520200.0,0.0,544200.0,524000.0,24000.0,500000.0,20200.0,900.0,19300.0,0.0,6,5,0.352,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.0,40,46,312,7,7,419695.0,419695.0,0.0,443695.0,424000.0,24000.0,400000.0,19695.0,795.0,18900.0,0.0,6,4,0.198,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.0,50,46,314,7,7,418855.00000000163,418855.00000000163,0.0,442855.0,424000.0,24000.0,400000.0,18855.0,755.0,18100.0,0.0,6,4,1.594,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.0,60,46,319,7,7,513705.0,513705.0,0.0,537705.0,524000.0,24000.0,500000.0,13705.0,605.0,13100.0,0.0,6,5,0.115,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.25,0,46,296,8,8,725280.0,725280.0,0.0,755640.0,728000.0,28000.0,700000.0,27430.0,1330.0,26100.0,210.0,7,7,0.005,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.25,10,46,301,8,8,724055.0,724055.0,0.0,750875.0,724000.0,24000.0,700000.0,26545.0,1445.0,25100.0,330.0,6,7,0.029,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.25,20,46,306,8,8,722885.0,722885.0,0.0,750165.0,724000.0,24000.0,700000.0,25745.0,1345.0,24400.0,420.0,6,7,0.113,
